station_id;available_bikes;available_ebikes;free_stands;status;updated
4020;6;0;15;Operative;2020-03-09 00:00:12
4021;2;4;20;Operative;2020-03-09 00:00:12
32303;8;18;4;Operative;2020-03-09 00:00:12
32302;0;7;13;Operative;2020-03-09 00:00:12
32301;0;0;17;Close;2020-03-09 00:00:12
22009;12;3;7;Operative;2020-03-09 00:00:12
22008;9;0;18;Operative;2020-03-09 00:00:12
22001;6;5;12;Operative;2020-03-09 00:00:12
22003;7;4;15;Operative;2020-03-09 00:00:12
22002;13;7;5;Operative;2020-03-09 00:00:12
22005;12;0;10;Operative;2020-03-09 00:00:12
22007;14;10;12;Operative;2020-03-09 00:00:12
22006;7;4;17;Operative;2020-03-09 00:00:12
21105;5;8;12;Operative;2020-03-09 00:00:12
21104;13;4;5;Operative;2020-03-09 00:00:12
21107;6;7;11;Operative;2020-03-09 00:00:12
21109;17;7;4;Operative;2020-03-09 00:00:12
21108;11;5;34;Operative;2020-03-09 00:00:12
32013;5;8;11;Operative;2020-03-09 00:00:12
32012;6;7;23;Operative;2020-03-09 00:00:12
32011;7;4;32;Operative;2020-03-09 00:00:12
32010;6;2;32;Operative;2020-03-09 00:00:12
32017;0;0;0;Work in progress;2020-03-09 00:00:12
32016;0;0;40;Work in progress;2020-03-09 00:00:12
32015;15;15;10;Operative;2020-03-09 00:00:12
32014;3;4;25;Operative;2020-03-09 00:00:12
32019;10;18;2;Operative;2020-03-09 00:00:12
32018;9;1;14;Operative;2020-03-09 00:00:12
12019;6;12;10;Operative;2020-03-09 00:00:12
12018;4;6;24;Operative;2020-03-09 00:00:12
12015;0;4;31;Operative;2020-03-09 00:00:12
12017;20;9;10;Operative;2020-03-09 00:00:12
12016;11;9;15;Operative;2020-03-09 00:00:12
12011;27;7;1;Operative;2020-03-09 00:00:12
12010;7;7;6;Operative;2020-03-09 00:00:12
12013;7;8;1;Operative;2020-03-09 00:00:12
46003;4;2;18;Operative;2020-03-09 00:00:12
46002;0;0;0;Work in progress;2020-03-09 00:00:12
46001;5;0;14;Operative;2020-03-09 00:00:12
17030;6;5;11;Operative;2020-03-09 00:00:12
17031;7;6;15;Operative;2020-03-09 00:00:12
17032;10;3;7;Operative;2020-03-09 00:00:12
17033;0;0;33;Close;2020-03-09 00:00:12
17036;1;4;23;Operative;2020-03-09 00:00:12
17037;9;11;2;Operative;2020-03-09 00:00:12
17038;3;2;57;Operative;2020-03-09 00:00:12
17039;3;3;32;Operative;2020-03-09 00:00:12
15201;0;0;0;Work in progress;2020-03-09 00:00:12
12129;1;0;33;Operative;2020-03-09 00:00:12
12128;24;1;9;Operative;2020-03-09 00:00:12
12120;11;9;30;Operative;2020-03-09 00:00:12
12123;27;3;22;Operative;2020-03-09 00:00:12
12122;22;6;23;Operative;2020-03-09 00:00:12
12125;26;6;18;Operative;2020-03-09 00:00:12
12127;27;10;11;Operative;2020-03-09 00:00:12
12126;3;12;36;Operative;2020-03-09 00:00:12
14138;0;5;27;Operative;2020-03-09 00:00:12
14139;1;3;26;Operative;2020-03-09 00:00:12
5114;6;4;7;Operative;2020-03-09 00:00:12
14130;4;6;21;Operative;2020-03-09 00:00:12
14131;3;3;24;Operative;2020-03-09 00:00:12
14132;1;4;25;Operative;2020-03-09 00:00:12
14133;8;2;25;Operative;2020-03-09 00:00:12
14134;11;3;18;Operative;2020-03-09 00:00:12
14135;0;2;37;Operative;2020-03-09 00:00:12
14136;1;1;38;Operative;2020-03-09 00:00:12
14137;2;1;27;Operative;2020-03-09 00:00:12
10001;15;2;44;Operative;2020-03-09 00:00:12
14018;0;3;44;Operative;2020-03-09 00:00:12
10008;8;8;2;Operative;2020-03-09 00:00:12
14012;2;2;21;Operative;2020-03-09 00:00:12
12007;0;1;34;Operative;2020-03-09 00:00:12
13052;26;3;15;Operative;2020-03-09 00:00:12
13053;9;2;10;Operative;2020-03-09 00:00:12
13050;18;4;35;Operative;2020-03-09 00:00:12
13051;7;3;13;Operative;2020-03-09 00:00:12
